created_at,voterID,message,selection1,selection2,selection3,selection4,selection5,selection6,voting_power
2024-06-14 07:15:45.577,83z3mxghy5ynjywx7rrjfv85wxg9mvw5v3vfyqgyy,"{""params"":[""johnnyKelly"",""joshuaStone"",""mauroAgustnAndreoli"",""lloydDuhon""],""timestamp"":1718349326886}",johnnyKelly,joshuaStone,mauroAgustnAndreoli,lloydDuhon,,,2652827422
2024-06-14 07:16:39.275,x9q0wlmqy4yyqy2yz026mfwgm4fgfwn3h02mwgym8yy,"{""params"":[""joshuaStone"",""mauroAgustnAndreoli"",""cardanoJapan"",""cardanoConfederationOfEmergingEconomies"",""scientificAnalyticalToolsLlc"",""easternCardanoCouncil""],""timestamp"":1718349364756}",joshuaStone,mauroAgustnAndreoli,cardanoJapan,cardanoConfederationOfEmergingEconomies,scientificAnalyticalToolsLlc,easternCardanoCouncil,63772216232
2024-06-14 07:20:27.253,8mly4gqj0j9j4qrxv45y6xgy4rf5yylfyyww7gg34y,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""mauroAgustnAndreoli""],""timestamp"":1718349591942}",cardanoAtlanticCouncil,joshuaStone,mauroAgustnAndreoli,,,,323564243
2024-06-14 07:21:37.104,854z6lfmy7h8l4qr9mzqg8f284wvn935qnmvfy72qz4f3w,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""mauroAgustnAndreoli""],""timestamp"":1718349679477}",cardanoAtlanticCouncil,joshuaStone,mauroAgustnAndreoli,,,,301266381
2024-06-14 07:23:29.411,9fyynvrhyfy2lzmrmw9wv7vyr6rw824yyw8qngvl,"{""params"":[""cardanoAtlanticCouncil""],""timestamp"":1718349764462}",cardanoAtlanticCouncil,,,,,,4136939034
2024-06-14 07:24:10.216,8y3mf0wf86hm03q42y3jqf8yq09llj9jylllyy4hj6,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""lloydDuhon"",""mauroAgustnAndreoli""],""timestamp"":1718349816505}",cardanoAtlanticCouncil,joshuaStone,lloydDuhon,mauroAgustnAndreoli,,,227941933361
2024-06-14 07:24:17.703,xmwj7nzyfjxmxyvznm2zr6r3n3g8ry7yf48626q3qn22,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""easternCardanoCouncil"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718349843876}",cardanoAtlanticCouncil,joshuaStone,easternCardanoCouncil,cardanoConfederationOfEmergingEconomies,,,15054110010
2024-06-14 07:25:22.365,9qq455xln6vzlvfnqvlyhyz64n32n4yyf2ggh4f58,"{""params"":[""cardanoAtlanticCouncil"",""cardanoJapan"",""mauroAgustnAndreoli"",""joshuaStone"",""lloydDuhon"",""kevinMohr""],""timestamp"":1718349911302}",cardanoAtlanticCouncil,cardanoJapan,mauroAgustnAndreoli,joshuaStone,lloydDuhon,kevinMohr,340341113331
2024-06-14 07:28:06.506,x9r5630wg47f6y72g5y9flm5zm9l8yr05xfyz78y0,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""johnnyKelly"",""lloydDuhon"",""mauroAgustnAndreoli"",""easternCardanoCouncil""],""timestamp"":1718350033754}",cardanoAtlanticCouncil,joshuaStone,johnnyKelly,lloydDuhon,mauroAgustnAndreoli,easternCardanoCouncil,204175191623
2024-06-14 07:29:31.879,9z79z5jzhyqf33f2qqxg66lyl3fwnm0lynv9yvhhl,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""easternCardanoCouncil"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718350169952}",cardanoAtlanticCouncil,joshuaStone,easternCardanoCouncil,cardanoConfederationOfEmergingEconomies,,,15290489019
2024-06-14 07:29:52.737,9x8ggv890ny6w89vxhqhvr4vyyqnwnxyggyhnv,"{""params"":[""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""johnnyKelly"",""easternCardanoCouncil"",""lloydDuhon"",""kevinMohr""],""timestamp"":1718350174536}",cardanoAtlanticCouncil,mauroAgustnAndreoli,johnnyKelly,easternCardanoCouncil,lloydDuhon,kevinMohr,149791592
2024-06-14 07:34:37.696,882q97y359y6hh4y5m069y9l7fr4z9rf7qxr38l6,"{""params"":[""johnnyKelly"",""tevoSaks""],""timestamp"":1718350235229}",johnnyKelly,tevoSaks,,,,,10726300149
2024-06-14 07:37:39.928,8y4gv5ylymf5hyghhw4y9q7yh2l79y5v64zxgyxqy,"{""params"":[""mauroAgustnAndreoli""],""timestamp"":1718350619983}",mauroAgustnAndreoli,,,,,,300619990
2024-06-14 07:39:18.319,93vy4jxrvf90ynwf9mf87jyzghnm5yx0lj3627nynv09x,"{""params"":[""joshuaStone"",""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""cardanoJapan"",""easternCardanoCouncil""],""timestamp"":1718350705236}",joshuaStone,cardanoAtlanticCouncil,mauroAgustnAndreoli,cardanoJapan,easternCardanoCouncil,,914650913830
2024-06-14 07:40:50.506,xm0x6qzwmn7xqgm7gj7xr3g24yy0q8g3q6jlh4wghyf,"{""params"":[""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""lloydDuhon"",""johnnyKelly"",""joshuaStone"",""easternCardanoCouncil""],""timestamp"":1718350830434}",cardanoAtlanticCouncil,mauroAgustnAndreoli,lloydDuhon,johnnyKelly,joshuaStone,easternCardanoCouncil,270232400534
2024-06-14 07:41:29.459,xyn3yylvqyxjgl93y0y0y09nyxxrvz9fyqrgh8z6,"{""params"":[""cardanoAtlanticCouncil"",""easternCardanoCouncil"",""mauroAgustnAndreoli""],""timestamp"":1718350867160}",cardanoAtlanticCouncil,easternCardanoCouncil,mauroAgustnAndreoli,,,,3360413056
2024-06-14 07:43:32.811,xvy2vqxyv3669qvy6ynw66zfwvl0ly29fyryfvllqwqw2,"{""params"":[""johnnyKelly"",""aaronOu"",""abeEllis"",""vaibhavSolanki"",""nicodemusRodriguez"",""joshuaStone""],""timestamp"":1718351005649}",johnnyKelly,aaronOu,abeEllis,vaibhavSolanki,nicodemusRodriguez,joshuaStone,285861032
2024-06-14 07:46:17.743,y64h6q36yf5jjy867y3h8jyz2yw2ygg839jrzy3y6mj,"{""params"":[""joshuaStone"",""cardanoAtlanticCouncil"",""cardanoJapan"",""mauroAgustnAndreoli"",""easternCardanoCouncil""],""timestamp"":1718351120350}",joshuaStone,cardanoAtlanticCouncil,cardanoJapan,mauroAgustnAndreoli,easternCardanoCouncil,,25997708301
